id,emoji,codepoints,name_en,name_ja,en_flag,importance,category,category_ja,subcategory,subcategory_ja,unicode_version,abstract_group_id,abstract_group_role,abstract_variant_kind,abstract_is_source,abstract_group_key,direct_ja,visual_ja,context_ja,symbolic_ja,emotion_ja,action_ja,culture_ja,search_ja,meaning_ja,usage_ja,impression_ja,class_ja,hidden_variant,variant_kind
1532,🚶,1F6B6,person walking,歩く人,,2,People & Body,人と体,person-activity,活動する人,0.6,1532,source,gender,1,walking,人;活動する人;歩く人;歩く;散歩,全身;動き,運動;趣味;外出;日常;歩く;散歩,活動;挑戦,,動く;歩く;散歩,,人;活動する人;歩く人;歩く;散歩;全身;動き;運動;趣味;外出;日常;活動;挑戦;動く,人;活動する人;歩く人;歩く;散歩;活動;挑戦,運動;趣味;外出;日常;歩く;散歩;動く,全身;動き,人と体;活動する人,,
1533,🚶🏻,1F6B6;1F3FB,person walking: light skin tone,歩く人（薄い肌色）,,1,People & Body,人と体,person-activity,活動する人,1,1532,variant,skin_gender,0,walking,人;活動する人;歩く人;歩く;散歩,全身;動き,運動;趣味;外出;日常;歩く;散歩,活動;挑戦,,動く;歩く;散歩,,人;活動する人;歩く人;歩く;散歩;全身;動き;運動;趣味;外出;日常;活動;挑戦;動く,人;活動する人;歩く人;歩く;散歩;活動;挑戦,運動;趣味;外出;日常;歩く;散歩;動く,全身;動き,人と体;活動する人,,
1534,🚶🏼,1F6B6;1F3FC,person walking: medium-light skin tone,歩く人（やや薄い肌色）,,2,People & Body,人と体,person-activity,活動する人,1,1532,variant,skin_gender,0,walking,人;活動する人;歩く人;歩く;散歩,全身;動き,運動;趣味;外出;日常;歩く;散歩,活動;挑戦,,動く;歩く;散歩,,人;活動する人;歩く人;歩く;散歩;全身;動き;運動;趣味;外出;日常;活動;挑戦;動く,人;活動する人;歩く人;歩く;散歩;活動;挑戦,運動;趣味;外出;日常;歩く;散歩;動く,全身;動き,人と体;活動する人,,
1535,🚶🏽,1F6B6;1F3FD,person walking: medium skin tone,歩く人（中間の肌色）,,1,People & Body,人と体,person-activity,活動する人,1,1532,variant,skin_gender,0,walking,人;活動する人;歩く人;歩く;散歩,全身;動き,運動;趣味;外出;日常;歩く;散歩,活動;挑戦,,動く;歩く;散歩,,人;活動する人;歩く人;歩く;散歩;全身;動き;運動;趣味;外出;日常;活動;挑戦;動く,人;活動する人;歩く人;歩く;散歩;活動;挑戦,運動;趣味;外出;日常;歩く;散歩;動く,全身;動き,人と体;活動する人,,
1536,🚶🏾,1F6B6;1F3FE,person walking: medium-dark skin tone,歩く人（やや濃い肌色）,,1,People & Body,人と体,person-activity,活動する人,1,1532,variant,skin_gender,0,walking,人;活動する人;歩く人;歩く;散歩,全身;動き,運動;趣味;外出;日常;歩く;散歩,活動;挑戦,,動く;歩く;散歩,,人;活動する人;歩く人;歩く;散歩;全身;動き;運動;趣味;外出;日常;活動;挑戦;動く,人;活動する人;歩く人;歩く;散歩;活動;挑戦,運動;趣味;外出;日常;歩く;散歩;動く,全身;動き,人と体;活動する人,,
1537,🚶🏿,1F6B6;1F3FF,person walking: dark skin tone,歩く人（濃い肌色）,,1,People & Body,人と体,person-activity,活動する人,1,1532,variant,skin_gender,0,walking,人;活動する人;歩く人;歩く;散歩,全身;動き,運動;趣味;外出;日常;歩く;散歩,活動;挑戦,,動く;歩く;散歩,,人;活動する人;歩く人;歩く;散歩;全身;動き;運動;趣味;外出;日常;活動;挑戦;動く,人;活動する人;歩く人;歩く;散歩;活動;挑戦,運動;趣味;外出;日常;歩く;散歩;動く,全身;動き,人と体;活動する人,,
1538,🚶‍♂️,1F6B6;200D;2642;FE0F,man walking,歩く人,,2,People & Body,人と体,person-activity,活動する人,4,1532,variant,gender,0,walking,人;活動する人;歩く人;男性;歩く;散歩,全身;動き;男,運動;趣味;外出;日常;歩く;散歩,活動;挑戦,,動く;歩く;散歩,,人;活動する人;歩く人;男性;歩く;散歩;全身;動き;男;運動;趣味;外出;日常;活動;挑戦;動く,人;活動する人;歩く人;男性;歩く;散歩;活動;挑戦,運動;趣味;外出;日常;歩く;散歩;動く,全身;動き;男,人と体;活動する人,,
1539,🚶🏻‍♂️,1F6B6;1F3FB;200D;2642;FE0F,man walking: light skin tone,歩く人,,1,People & Body,人と体,person-activity,活動する人,4,1532,variant,skin_gender,0,walking,人;活動する人;歩く人;男性;歩く;散歩,全身;動き;男,運動;趣味;外出;日常;歩く;散歩,活動;挑戦,,動く;歩く;散歩,,人;活動する人;歩く人;男性;歩く;散歩;全身;動き;男;運動;趣味;外出;日常;活動;挑戦;動く,人;活動する人;歩く人;男性;歩く;散歩;活動;挑戦,運動;趣味;外出;日常;歩く;散歩;動く,全身;動き;男,人と体;活動する人,,
1540,🚶🏼‍♂️,1F6B6;1F3FC;200D;2642;FE0F,man walking: medium-light skin tone,歩く人,,2,People & Body,人と体,person-activity,活動する人,4,1532,variant,skin_gender,0,walking,人;活動する人;歩く人;男性;歩く;散歩,全身;動き;男,運動;趣味;外出;日常;歩く;散歩,活動;挑戦,,動く;歩く;散歩,,人;活動する人;歩く人;男性;歩く;散歩;全身;動き;男;運動;趣味;外出;日常;活動;挑戦;動く,人;活動する人;歩く人;男性;歩く;散歩;活動;挑戦,運動;趣味;外出;日常;歩く;散歩;動く,全身;動き;男,人と体;活動する人,,
1541,🚶🏽‍♂️,1F6B6;1F3FD;200D;2642;FE0F,man walking: medium skin tone,歩く人,,1,People & Body,人と体,person-activity,活動する人,4,1532,variant,skin_gender,0,walking,人;活動する人;歩く人;男性;歩く;散歩,全身;動き;男,運動;趣味;外出;日常;歩く;散歩,活動;挑戦,,動く;歩く;散歩,,人;活動する人;歩く人;男性;歩く;散歩;全身;動き;男;運動;趣味;外出;日常;活動;挑戦;動く,人;活動する人;歩く人;男性;歩く;散歩;活動;挑戦,運動;趣味;外出;日常;歩く;散歩;動く,全身;動き;男,人と体;活動する人,,
1542,🚶🏾‍♂️,1F6B6;1F3FE;200D;2642;FE0F,man walking: medium-dark skin tone,歩く人,,1,People & Body,人と体,person-activity,活動する人,4,1532,variant,skin_gender,0,walking,人;活動する人;歩く人;男性;歩く;散歩,全身;動き;男,運動;趣味;外出;日常;歩く;散歩,活動;挑戦,,動く;歩く;散歩,,人;活動する人;歩く人;男性;歩く;散歩;全身;動き;男;運動;趣味;外出;日常;活動;挑戦;動く,人;活動する人;歩く人;男性;歩く;散歩;活動;挑戦,運動;趣味;外出;日常;歩く;散歩;動く,全身;動き;男,人と体;活動する人,,
1543,🚶🏿‍♂️,1F6B6;1F3FF;200D;2642;FE0F,man walking: dark skin tone,歩く人,,1,People & Body,人と体,person-activity,活動する人,4,1532,variant,skin_gender,0,walking,人;活動する人;歩く人;男性;歩く;散歩,全身;動き;男,運動;趣味;外出;日常;歩く;散歩,活動;挑戦,,動く;歩く;散歩,,人;活動する人;歩く人;男性;歩く;散歩;全身;動き;男;運動;趣味;外出;日常;活動;挑戦;動く,人;活動する人;歩く人;男性;歩く;散歩;活動;挑戦,運動;趣味;外出;日常;歩く;散歩;動く,全身;動き;男,人と体;活動する人,,
1544,🚶‍♀️,1F6B6;200D;2640;FE0F,woman walking,歩く人,,2,People & Body,人と体,person-activity,活動する人,4,1532,variant,gender,0,walking,人;活動する人;歩く人;女性;歩く;散歩,全身;動き;女,運動;趣味;外出;日常;歩く;散歩,活動;挑戦,,動く;歩く;散歩,,人;活動する人;歩く人;女性;歩く;散歩;全身;動き;女;運動;趣味;外出;日常;活動;挑戦;動く,人;活動する人;歩く人;女性;歩く;散歩;活動;挑戦,運動;趣味;外出;日常;歩く;散歩;動く,全身;動き;女,人と体;活動する人,,
1545,🚶🏻‍♀️,1F6B6;1F3FB;200D;2640;FE0F,woman walking: light skin tone,歩く人,,1,People & Body,人と体,person-activity,活動する人,4,1532,variant,skin_gender,0,walking,人;活動する人;歩く人;女性;歩く;散歩,全身;動き;女,運動;趣味;外出;日常;歩く;散歩,活動;挑戦,,動く;歩く;散歩,,人;活動する人;歩く人;女性;歩く;散歩;全身;動き;女;運動;趣味;外出;日常;活動;挑戦;動く,人;活動する人;歩く人;女性;歩く;散歩;活動;挑戦,運動;趣味;外出;日常;歩く;散歩;動く,全身;動き;女,人と体;活動する人,,
1546,🚶🏼‍♀️,1F6B6;1F3FC;200D;2640;FE0F,woman walking: medium-light skin tone,歩く人,,2,People & Body,人と体,person-activity,活動する人,4,1532,variant,skin_gender,0,walking,人;活動する人;歩く人;女性;歩く;散歩,全身;動き;女,運動;趣味;外出;日常;歩く;散歩,活動;挑戦,,動く;歩く;散歩,,人;活動する人;歩く人;女性;歩く;散歩;全身;動き;女;運動;趣味;外出;日常;活動;挑戦;動く,人;活動する人;歩く人;女性;歩く;散歩;活動;挑戦,運動;趣味;外出;日常;歩く;散歩;動く,全身;動き;女,人と体;活動する人,,
1547,🚶🏽‍♀️,1F6B6;1F3FD;200D;2640;FE0F,woman walking: medium skin tone,歩く人,,1,People & Body,人と体,person-activity,活動する人,4,1532,variant,skin_gender,0,walking,人;活動する人;歩く人;女性;歩く;散歩,全身;動き;女,運動;趣味;外出;日常;歩く;散歩,活動;挑戦,,動く;歩く;散歩,,人;活動する人;歩く人;女性;歩く;散歩;全身;動き;女;運動;趣味;外出;日常;活動;挑戦;動く,人;活動する人;歩く人;女性;歩く;散歩;活動;挑戦,運動;趣味;外出;日常;歩く;散歩;動く,全身;動き;女,人と体;活動する人,,
1548,🚶🏾‍♀️,1F6B6;1F3FE;200D;2640;FE0F,woman walking: medium-dark skin tone,歩く人,,1,People & Body,人と体,person-activity,活動する人,4,1532,variant,skin_gender,0,walking,人;活動する人;歩く人;女性;歩く;散歩,全身;動き;女,運動;趣味;外出;日常;歩く;散歩,活動;挑戦,,動く;歩く;散歩,,人;活動する人;歩く人;女性;歩く;散歩;全身;動き;女;運動;趣味;外出;日常;活動;挑戦;動く,人;活動する人;歩く人;女性;歩く;散歩;活動;挑戦,運動;趣味;外出;日常;歩く;散歩;動く,全身;動き;女,人と体;活動する人,,
1549,🚶🏿‍♀️,1F6B6;1F3FF;200D;2640;FE0F,woman walking: dark skin tone,歩く人,,1,People & Body,人と体,person-activity,活動する人,4,1532,variant,skin_gender,0,walking,人;活動する人;歩く人;女性;歩く;散歩,全身;動き;女,運動;趣味;外出;日常;歩く;散歩,活動;挑戦,,動く;歩く;散歩,,人;活動する人;歩く人;女性;歩く;散歩;全身;動き;女;運動;趣味;外出;日常;活動;挑戦;動く,人;活動する人;歩く人;女性;歩く;散歩;活動;挑戦,運動;趣味;外出;日常;歩く;散歩;動く,全身;動き;女,人と体;活動する人,,
1550,🚶‍➡️,1F6B6;200D;27A1;FE0F,person walking facing right,歩く人,,2,People & Body,人と体,person-activity,活動する人,15.1,1550,source,gender,1,walking facing right,人;活動する人;歩く人;歩く;散歩,全身;動き,運動;趣味;外出;日常;歩く;散歩,活動;挑戦,,動く;歩く;散歩,,人;活動する人;歩く人;歩く;散歩;全身;動き;運動;趣味;外出;日常;活動;挑戦;動く,人;活動する人;歩く人;歩く;散歩;活動;挑戦,運動;趣味;外出;日常;歩く;散歩;動く,全身;動き,人と体;活動する人,,
1551,🚶🏻‍➡️,1F6B6;1F3FB;200D;27A1;FE0F,person walking facing right: light skin tone,歩く人,,1,People & Body,人と体,person-activity,活動する人,15.1,1550,variant,skin_gender,0,walking facing right,人;活動する人;歩く人;歩く;散歩,全身;動き,運動;趣味;外出;日常;歩く;散歩,活動;挑戦,,動く;歩く;散歩,,人;活動する人;歩く人;歩く;散歩;全身;動き;運動;趣味;外出;日常;活動;挑戦;動く,人;活動する人;歩く人;歩く;散歩;活動;挑戦,運動;趣味;外出;日常;歩く;散歩;動く,全身;動き,人と体;活動する人,,
1552,🚶🏼‍➡️,1F6B6;1F3FC;200D;27A1;FE0F,person walking facing right: medium-light skin tone,歩く人,,2,People & Body,人と体,person-activity,活動する人,15.1,1550,variant,skin_gender,0,walking facing right,人;活動する人;歩く人;歩く;散歩,全身;動き,運動;趣味;外出;日常;歩く;散歩,活動;挑戦,,動く;歩く;散歩,,人;活動する人;歩く人;歩く;散歩;全身;動き;運動;趣味;外出;日常;活動;挑戦;動く,人;活動する人;歩く人;歩く;散歩;活動;挑戦,運動;趣味;外出;日常;歩く;散歩;動く,全身;動き,人と体;活動する人,,
1553,🚶🏽‍➡️,1F6B6;1F3FD;200D;27A1;FE0F,person walking facing right: medium skin tone,歩く人,,1,People & Body,人と体,person-activity,活動する人,15.1,1550,variant,skin_gender,0,walking facing right,人;活動する人;歩く人;歩く;散歩,全身;動き,運動;趣味;外出;日常;歩く;散歩,活動;挑戦,,動く;歩く;散歩,,人;活動する人;歩く人;歩く;散歩;全身;動き;運動;趣味;外出;日常;活動;挑戦;動く,人;活動する人;歩く人;歩く;散歩;活動;挑戦,運動;趣味;外出;日常;歩く;散歩;動く,全身;動き,人と体;活動する人,,
1554,🚶🏾‍➡️,1F6B6;1F3FE;200D;27A1;FE0F,person walking facing right: medium-dark skin tone,歩く人,,1,People & Body,人と体,person-activity,活動する人,15.1,1550,variant,skin_gender,0,walking facing right,人;活動する人;歩く人;歩く;散歩,全身;動き,運動;趣味;外出;日常;歩く;散歩,活動;挑戦,,動く;歩く;散歩,,人;活動する人;歩く人;歩く;散歩;全身;動き;運動;趣味;外出;日常;活動;挑戦;動く,人;活動する人;歩く人;歩く;散歩;活動;挑戦,運動;趣味;外出;日常;歩く;散歩;動く,全身;動き,人と体;活動する人,,
1555,🚶🏿‍➡️,1F6B6;1F3FF;200D;27A1;FE0F,person walking facing right: dark skin tone,歩く人,,1,People & Body,人と体,person-activity,活動する人,15.1,1550,variant,skin_gender,0,walking facing right,人;活動する人;歩く人;歩く;散歩,全身;動き,運動;趣味;外出;日常;歩く;散歩,活動;挑戦,,動く;歩く;散歩,,人;活動する人;歩く人;歩く;散歩;全身;動き;運動;趣味;外出;日常;活動;挑戦;動く,人;活動する人;歩く人;歩く;散歩;活動;挑戦,運動;趣味;外出;日常;歩く;散歩;動く,全身;動き,人と体;活動する人,,
1556,🚶‍♀️‍➡️,1F6B6;200D;2640;FE0F;200D;27A1;FE0F,woman walking facing right,歩く人,,2,People & Body,人と体,person-activity,活動する人,15.1,1550,variant,gender,0,walking facing right,人;活動する人;歩く人;女性;歩く;散歩,全身;動き;女,運動;趣味;外出;日常;歩く;散歩,活動;挑戦,,動く;歩く;散歩,,人;活動する人;歩く人;女性;歩く;散歩;全身;動き;女;運動;趣味;外出;日常;活動;挑戦;動く,人;活動する人;歩く人;女性;歩く;散歩;活動;挑戦,運動;趣味;外出;日常;歩く;散歩;動く,全身;動き;女,人と体;活動する人,,
1557,🚶🏻‍♀️‍➡️,1F6B6;1F3FB;200D;2640;FE0F;200D;27A1;FE0F,woman walking facing right: light skin tone,歩く人,,1,People & Body,人と体,person-activity,活動する人,15.1,1550,variant,skin_gender,0,walking facing right,人;活動する人;歩く人;女性;歩く;散歩,全身;動き;女,運動;趣味;外出;日常;歩く;散歩,活動;挑戦,,動く;歩く;散歩,,人;活動する人;歩く人;女性;歩く;散歩;全身;動き;女;運動;趣味;外出;日常;活動;挑戦;動く,人;活動する人;歩く人;女性;歩く;散歩;活動;挑戦,運動;趣味;外出;日常;歩く;散歩;動く,全身;動き;女,人と体;活動する人,,
1558,🚶🏼‍♀️‍➡️,1F6B6;1F3FC;200D;2640;FE0F;200D;27A1;FE0F,woman walking facing right: medium-light skin tone,歩く人,,2,People & Body,人と体,person-activity,活動する人,15.1,1550,variant,skin_gender,0,walking facing right,人;活動する人;歩く人;女性;歩く;散歩,全身;動き;女,運動;趣味;外出;日常;歩く;散歩,活動;挑戦,,動く;歩く;散歩,,人;活動する人;歩く人;女性;歩く;散歩;全身;動き;女;運動;趣味;外出;日常;活動;挑戦;動く,人;活動する人;歩く人;女性;歩く;散歩;活動;挑戦,運動;趣味;外出;日常;歩く;散歩;動く,全身;動き;女,人と体;活動する人,,
1559,🚶🏽‍♀️‍➡️,1F6B6;1F3FD;200D;2640;FE0F;200D;27A1;FE0F,woman walking facing right: medium skin tone,歩く人,,1,People & Body,人と体,person-activity,活動する人,15.1,1550,variant,skin_gender,0,walking facing right,人;活動する人;歩く人;女性;歩く;散歩,全身;動き;女,運動;趣味;外出;日常;歩く;散歩,活動;挑戦,,動く;歩く;散歩,,人;活動する人;歩く人;女性;歩く;散歩;全身;動き;女;運動;趣味;外出;日常;活動;挑戦;動く,人;活動する人;歩く人;女性;歩く;散歩;活動;挑戦,運動;趣味;外出;日常;歩く;散歩;動く,全身;動き;女,人と体;活動する人,,
1560,🚶🏾‍♀️‍➡️,1F6B6;1F3FE;200D;2640;FE0F;200D;27A1;FE0F,woman walking facing right: medium-dark skin tone,歩く人,,1,People & Body,人と体,person-activity,活動する人,15.1,1550,variant,skin_gender,0,walking facing right,人;活動する人;歩く人;女性;歩く;散歩,全身;動き;女,運動;趣味;外出;日常;歩く;散歩,活動;挑戦,,動く;歩く;散歩,,人;活動する人;歩く人;女性;歩く;散歩;全身;動き;女;運動;趣味;外出;日常;活動;挑戦;動く,人;活動する人;歩く人;女性;歩く;散歩;活動;挑戦,運動;趣味;外出;日常;歩く;散歩;動く,全身;動き;女,人と体;活動する人,,
1561,🚶🏿‍♀️‍➡️,1F6B6;1F3FF;200D;2640;FE0F;200D;27A1;FE0F,woman walking facing right: dark skin tone,歩く人,,1,People & Body,人と体,person-activity,活動する人,15.1,1550,variant,skin_gender,0,walking facing right,人;活動する人;歩く人;女性;歩く;散歩,全身;動き;女,運動;趣味;外出;日常;歩く;散歩,活動;挑戦,,動く;歩く;散歩,,人;活動する人;歩く人;女性;歩く;散歩;全身;動き;女;運動;趣味;外出;日常;活動;挑戦;動く,人;活動する人;歩く人;女性;歩く;散歩;活動;挑戦,運動;趣味;外出;日常;歩く;散歩;動く,全身;動き;女,人と体;活動する人,,
1562,🚶‍♂️‍➡️,1F6B6;200D;2642;FE0F;200D;27A1;FE0F,man walking facing right,歩く人,,2,People & Body,人と体,person-activity,活動する人,15.1,1550,variant,gender,0,walking facing right,人;活動する人;歩く人;男性;歩く;散歩,全身;動き;男,運動;趣味;外出;日常;歩く;散歩,活動;挑戦,,動く;歩く;散歩,,人;活動する人;歩く人;男性;歩く;散歩;全身;動き;男;運動;趣味;外出;日常;活動;挑戦;動く,人;活動する人;歩く人;男性;歩く;散歩;活動;挑戦,運動;趣味;外出;日常;歩く;散歩;動く,全身;動き;男,人と体;活動する人,,
1563,🚶🏻‍♂️‍➡️,1F6B6;1F3FB;200D;2642;FE0F;200D;27A1;FE0F,man walking facing right: light skin tone,歩く人,,1,People & Body,人と体,person-activity,活動する人,15.1,1550,variant,skin_gender,0,walking facing right,人;活動する人;歩く人;男性;歩く;散歩,全身;動き;男,運動;趣味;外出;日常;歩く;散歩,活動;挑戦,,動く;歩く;散歩,,人;活動する人;歩く人;男性;歩く;散歩;全身;動き;男;運動;趣味;外出;日常;活動;挑戦;動く,人;活動する人;歩く人;男性;歩く;散歩;活動;挑戦,運動;趣味;外出;日常;歩く;散歩;動く,全身;動き;男,人と体;活動する人,,
1564,🚶🏼‍♂️‍➡️,1F6B6;1F3FC;200D;2642;FE0F;200D;27A1;FE0F,man walking facing right: medium-light skin tone,歩く人,,2,People & Body,人と体,person-activity,活動する人,15.1,1550,variant,skin_gender,0,walking facing right,人;活動する人;歩く人;男性;歩く;散歩,全身;動き;男,運動;趣味;外出;日常;歩く;散歩,活動;挑戦,,動く;歩く;散歩,,人;活動する人;歩く人;男性;歩く;散歩;全身;動き;男;運動;趣味;外出;日常;活動;挑戦;動く,人;活動する人;歩く人;男性;歩く;散歩;活動;挑戦,運動;趣味;外出;日常;歩く;散歩;動く,全身;動き;男,人と体;活動する人,,
1565,🚶🏽‍♂️‍➡️,1F6B6;1F3FD;200D;2642;FE0F;200D;27A1;FE0F,man walking facing right: medium skin tone,歩く人,,1,People & Body,人と体,person-activity,活動する人,15.1,1550,variant,skin_gender,0,walking facing right,人;活動する人;歩く人;男性;歩く;散歩,全身;動き;男,運動;趣味;外出;日常;歩く;散歩,活動;挑戦,,動く;歩く;散歩,,人;活動する人;歩く人;男性;歩く;散歩;全身;動き;男;運動;趣味;外出;日常;活動;挑戦;動く,人;活動する人;歩く人;男性;歩く;散歩;活動;挑戦,運動;趣味;外出;日常;歩く;散歩;動く,全身;動き;男,人と体;活動する人,,
1566,🚶🏾‍♂️‍➡️,1F6B6;1F3FE;200D;2642;FE0F;200D;27A1;FE0F,man walking facing right: medium-dark skin tone,歩く人,,1,People & Body,人と体,person-activity,活動する人,15.1,1550,variant,skin_gender,0,walking facing right,人;活動する人;歩く人;男性;歩く;散歩,全身;動き;男,運動;趣味;外出;日常;歩く;散歩,活動;挑戦,,動く;歩く;散歩,,人;活動する人;歩く人;男性;歩く;散歩;全身;動き;男;運動;趣味;外出;日常;活動;挑戦;動く,人;活動する人;歩く人;男性;歩く;散歩;活動;挑戦,運動;趣味;外出;日常;歩く;散歩;動く,全身;動き;男,人と体;活動する人,,
1567,🚶🏿‍♂️‍➡️,1F6B6;1F3FF;200D;2642;FE0F;200D;27A1;FE0F,man walking facing right: dark skin tone,歩く人,,1,People & Body,人と体,person-activity,活動する人,15.1,1550,variant,skin_gender,0,walking facing right,人;活動する人;歩く人;男性;歩く;散歩,全身;動き;男,運動;趣味;外出;日常;歩く;散歩,活動;挑戦,,動く;歩く;散歩,,人;活動する人;歩く人;男性;歩く;散歩;全身;動き;男;運動;趣味;外出;日常;活動;挑戦;動く,人;活動する人;歩く人;男性;歩く;散歩;活動;挑戦,運動;趣味;外出;日常;歩く;散歩;動く,全身;動き;男,人と体;活動する人,,
1568,🧍,1F9CD,person standing,立つ人,,2,People & Body,人と体,person-activity,活動する人,12,1568,source,gender,1,standing,人;活動する人;立つ人,全身;動き,運動;趣味;外出;日常,活動;挑戦,,動く,,人;活動する人;立つ人;全身;動き;運動;趣味;外出;日常;活動;挑戦;動く,人;活動する人;立つ人;活動;挑戦,運動;趣味;外出;日常;動く,全身;動き,人と体;活動する人,,
1569,🧍🏻,1F9CD;1F3FB,person standing: light skin tone,立つ人（薄い肌色）,,1,People & Body,人と体,person-activity,活動する人,12,1568,variant,skin_gender,0,standing,人;活動する人;立つ人,全身;動き,運動;趣味;外出;日常,活動;挑戦,,動く,,人;活動する人;立つ人;全身;動き;運動;趣味;外出;日常;活動;挑戦;動く,人;活動する人;立つ人;活動;挑戦,運動;趣味;外出;日常;動く,全身;動き,人と体;活動する人,,
1570,🧍🏼,1F9CD;1F3FC,person standing: medium-light skin tone,立つ人（やや薄い肌色）,,2,People & Body,人と体,person-activity,活動する人,12,1568,variant,skin_gender,0,standing,人;活動する人;立つ人,全身;動き,運動;趣味;外出;日常,活動;挑戦,,動く,,人;活動する人;立つ人;全身;動き;運動;趣味;外出;日常;活動;挑戦;動く,人;活動する人;立つ人;活動;挑戦,運動;趣味;外出;日常;動く,全身;動き,人と体;活動する人,,
1571,🧍🏽,1F9CD;1F3FD,person standing: medium skin tone,立つ人（中間の肌色）,,1,People & Body,人と体,person-activity,活動する人,12,1568,variant,skin_gender,0,standing,人;活動する人;立つ人,全身;動き,運動;趣味;外出;日常,活動;挑戦,,動く,,人;活動する人;立つ人;全身;動き;運動;趣味;外出;日常;活動;挑戦;動く,人;活動する人;立つ人;活動;挑戦,運動;趣味;外出;日常;動く,全身;動き,人と体;活動する人,,
1572,🧍🏾,1F9CD;1F3FE,person standing: medium-dark skin tone,立つ人（やや濃い肌色）,,1,People & Body,人と体,person-activity,活動する人,12,1568,variant,skin_gender,0,standing,人;活動する人;立つ人,全身;動き,運動;趣味;外出;日常,活動;挑戦,,動く,,人;活動する人;立つ人;全身;動き;運動;趣味;外出;日常;活動;挑戦;動く,人;活動する人;立つ人;活動;挑戦,運動;趣味;外出;日常;動く,全身;動き,人と体;活動する人,,
1573,🧍🏿,1F9CD;1F3FF,person standing: dark skin tone,立つ人（濃い肌色）,,1,People & Body,人と体,person-activity,活動する人,12,1568,variant,skin_gender,0,standing,人;活動する人;立つ人,全身;動き,運動;趣味;外出;日常,活動;挑戦,,動く,,人;活動する人;立つ人;全身;動き;運動;趣味;外出;日常;活動;挑戦;動く,人;活動する人;立つ人;活動;挑戦,運動;趣味;外出;日常;動く,全身;動き,人と体;活動する人,,
1574,🧍‍♂️,1F9CD;200D;2642;FE0F,man standing,立つ人,,2,People & Body,人と体,person-activity,活動する人,12,1568,variant,gender,0,standing,人;活動する人;立つ人;男性,全身;動き;男,運動;趣味;外出;日常,活動;挑戦,,動く,,人;活動する人;立つ人;男性;全身;動き;男;運動;趣味;外出;日常;活動;挑戦;動く,人;活動する人;立つ人;男性;活動;挑戦,運動;趣味;外出;日常;動く,全身;動き;男,人と体;活動する人,,
1575,🧍🏻‍♂️,1F9CD;1F3FB;200D;2642;FE0F,man standing: light skin tone,立つ人,,1,People & Body,人と体,person-activity,活動する人,12,1568,variant,skin_gender,0,standing,人;活動する人;立つ人;男性,全身;動き;男,運動;趣味;外出;日常,活動;挑戦,,動く,,人;活動する人;立つ人;男性;全身;動き;男;運動;趣味;外出;日常;活動;挑戦;動く,人;活動する人;立つ人;男性;活動;挑戦,運動;趣味;外出;日常;動く,全身;動き;男,人と体;活動する人,,
1576,🧍🏼‍♂️,1F9CD;1F3FC;200D;2642;FE0F,man standing: medium-light skin tone,立つ人,,2,People & Body,人と体,person-activity,活動する人,12,1568,variant,skin_gender,0,standing,人;活動する人;立つ人;男性,全身;動き;男,運動;趣味;外出;日常,活動;挑戦,,動く,,人;活動する人;立つ人;男性;全身;動き;男;運動;趣味;外出;日常;活動;挑戦;動く,人;活動する人;立つ人;男性;活動;挑戦,運動;趣味;外出;日常;動く,全身;動き;男,人と体;活動する人,,
1577,🧍🏽‍♂️,1F9CD;1F3FD;200D;2642;FE0F,man standing: medium skin tone,立つ人,,1,People & Body,人と体,person-activity,活動する人,12,1568,variant,skin_gender,0,standing,人;活動する人;立つ人;男性,全身;動き;男,運動;趣味;外出;日常,活動;挑戦,,動く,,人;活動する人;立つ人;男性;全身;動き;男;運動;趣味;外出;日常;活動;挑戦;動く,人;活動する人;立つ人;男性;活動;挑戦,運動;趣味;外出;日常;動く,全身;動き;男,人と体;活動する人,,
1578,🧍🏾‍♂️,1F9CD;1F3FE;200D;2642;FE0F,man standing: medium-dark skin tone,立つ人,,1,People & Body,人と体,person-activity,活動する人,12,1568,variant,skin_gender,0,standing,人;活動する人;立つ人;男性,全身;動き;男,運動;趣味;外出;日常,活動;挑戦,,動く,,人;活動する人;立つ人;男性;全身;動き;男;運動;趣味;外出;日常;活動;挑戦;動く,人;活動する人;立つ人;男性;活動;挑戦,運動;趣味;外出;日常;動く,全身;動き;男,人と体;活動する人,,
1579,🧍🏿‍♂️,1F9CD;1F3FF;200D;2642;FE0F,man standing: dark skin tone,立つ人,,1,People & Body,人と体,person-activity,活動する人,12,1568,variant,skin_gender,0,standing,人;活動する人;立つ人;男性,全身;動き;男,運動;趣味;外出;日常,活動;挑戦,,動く,,人;活動する人;立つ人;男性;全身;動き;男;運動;趣味;外出;日常;活動;挑戦;動く,人;活動する人;立つ人;男性;活動;挑戦,運動;趣味;外出;日常;動く,全身;動き;男,人と体;活動する人,,
1580,🧍‍♀️,1F9CD;200D;2640;FE0F,woman standing,立つ人,,2,People & Body,人と体,person-activity,活動する人,12,1568,variant,gender,0,standing,人;活動する人;立つ人;女性,全身;動き;女,運動;趣味;外出;日常,活動;挑戦,,動く,,人;活動する人;立つ人;女性;全身;動き;女;運動;趣味;外出;日常;活動;挑戦;動く,人;活動する人;立つ人;女性;活動;挑戦,運動;趣味;外出;日常;動く,全身;動き;女,人と体;活動する人,,
