id,emoji,codepoints,name_en,name_ja,category,category_ja,subcategory,subcategory_ja,unicode_version,tags_ja,scenes_ja,tone_ja,assoc_ja,en_flag,importance
1520,💇‍♂️,1F487 200D 2642 FE0F,man getting haircut,ヘアカット,People & Body,人と体,person-activity,活動する人,4,自己紹介;会話向き,会話,親しみ,会話;自己紹介;親しみ;会話向き,,2
1521,💇🏻‍♂️,1F487 1F3FB 200D 2642 FE0F,man getting haircut: light skin tone,ヘアカット,People & Body,人と体,person-activity,活動する人,4,自己紹介;会話向き,会話,親しみ,会話;自己紹介;親しみ;会話向き,,1
1522,💇🏼‍♂️,1F487 1F3FC 200D 2642 FE0F,man getting haircut: medium-light skin tone,ヘアカット,People & Body,人と体,person-activity,活動する人,4,自己紹介;会話向き,会話,親しみ,会話;自己紹介;親しみ;会話向き,,2
1523,💇🏽‍♂️,1F487 1F3FD 200D 2642 FE0F,man getting haircut: medium skin tone,ヘアカット,People & Body,人と体,person-activity,活動する人,4,自己紹介;会話向き,会話,親しみ,会話;自己紹介;親しみ;会話向き,,1
1524,💇🏾‍♂️,1F487 1F3FE 200D 2642 FE0F,man getting haircut: medium-dark skin tone,ヘアカット,People & Body,人と体,person-activity,活動する人,4,自己紹介;会話向き,会話,親しみ,会話;自己紹介;親しみ;会話向き,,1
1525,💇🏿‍♂️,1F487 1F3FF 200D 2642 FE0F,man getting haircut: dark skin tone,ヘアカット,People & Body,人と体,person-activity,活動する人,4,自己紹介;会話向き,会話,親しみ,会話;自己紹介;親しみ;会話向き,,1
1526,💇‍♀️,1F487 200D 2640 FE0F,woman getting haircut,ヘアカット,People & Body,人と体,person-activity,活動する人,4,自己紹介;会話向き,会話,親しみ,会話;自己紹介;親しみ;会話向き,,2
1527,💇🏻‍♀️,1F487 1F3FB 200D 2640 FE0F,woman getting haircut: light skin tone,ヘアカット,People & Body,人と体,person-activity,活動する人,4,自己紹介;会話向き,会話,親しみ,会話;自己紹介;親しみ;会話向き,,1
1528,💇🏼‍♀️,1F487 1F3FC 200D 2640 FE0F,woman getting haircut: medium-light skin tone,ヘアカット,People & Body,人と体,person-activity,活動する人,4,自己紹介;会話向き,会話,親しみ,会話;自己紹介;親しみ;会話向き,,2
1529,💇🏽‍♀️,1F487 1F3FD 200D 2640 FE0F,woman getting haircut: medium skin tone,ヘアカット,People & Body,人と体,person-activity,活動する人,4,自己紹介;会話向き,会話,親しみ,会話;自己紹介;親しみ;会話向き,,1
1530,💇🏾‍♀️,1F487 1F3FE 200D 2640 FE0F,woman getting haircut: medium-dark skin tone,ヘアカット,People & Body,人と体,person-activity,活動する人,4,自己紹介;会話向き,会話,親しみ,会話;自己紹介;親しみ;会話向き,,1
1531,💇🏿‍♀️,1F487 1F3FF 200D 2640 FE0F,woman getting haircut: dark skin tone,ヘアカット,People & Body,人と体,person-activity,活動する人,4,自己紹介;会話向き,会話,親しみ,会話;自己紹介;親しみ;会話向き,,1
1532,🚶,1F6B6,person walking,歩く人,People & Body,人と体,person-activity,活動する人,0.6,人;ウォーキング;ハイキング;ぶらつく;大股;歩く;歩行;歩行者;自己紹介;会話向き,散歩;会話,親しみ,人;ウォーキング;ハイキング;ぶらつく;大股;散歩;歩く;歩行;歩行者;会話;自己紹介;親しみ;会話向き,,2
1533,🚶🏻,1F6B6 1F3FB,person walking: light skin tone,歩く人（薄い肌色）,People & Body,人と体,person-activity,活動する人,1,人;ウォーキング;ハイキング;ぶらつく;大股;歩く;歩行;歩行者;薄い肌色;自己紹介;会話向き,散歩;会話,親しみ,人;ウォーキング;ハイキング;ぶらつく;大股;散歩;歩く;歩行;歩行者;薄い肌色;会話;自己紹介;親しみ;会話向き,,1
1534,🚶🏼,1F6B6 1F3FC,person walking: medium-light skin tone,歩く人（やや薄い肌色）,People & Body,人と体,person-activity,活動する人,1,人;ウォーキング;ハイキング;ぶらつく;やや薄い肌色;大股;歩く;歩行;歩行者;自己紹介;会話向き,散歩;会話,親しみ,人;ウォーキング;ハイキング;ぶらつく;やや薄い肌色;大股;散歩;歩く;歩行;歩行者;会話;自己紹介;親しみ;会話向き,,2
1535,🚶🏽,1F6B6 1F3FD,person walking: medium skin tone,歩く人（中間の肌色）,People & Body,人と体,person-activity,活動する人,1,人;ウォーキング;ハイキング;ぶらつく;中間の肌色;大股;歩く;歩行;歩行者;自己紹介;会話向き,散歩;会話,親しみ,人;ウォーキング;ハイキング;ぶらつく;中間の肌色;大股;散歩;歩く;歩行;歩行者;会話;自己紹介;親しみ;会話向き,,1
1536,🚶🏾,1F6B6 1F3FE,person walking: medium-dark skin tone,歩く人（やや濃い肌色）,People & Body,人と体,person-activity,活動する人,1,人;ウォーキング;ハイキング;ぶらつく;やや濃い肌色;大股;歩く;歩行;歩行者;自己紹介;会話向き,散歩;会話,親しみ,人;ウォーキング;ハイキング;ぶらつく;やや濃い肌色;大股;散歩;歩く;歩行;歩行者;会話;自己紹介;親しみ;会話向き,,1
1537,🚶🏿,1F6B6 1F3FF,person walking: dark skin tone,歩く人（濃い肌色）,People & Body,人と体,person-activity,活動する人,1,人;ウォーキング;ハイキング;ぶらつく;大股;歩く;歩行;歩行者;濃い肌色;自己紹介;会話向き,散歩;会話,親しみ,人;ウォーキング;ハイキング;ぶらつく;大股;散歩;歩く;歩行;歩行者;濃い肌色;会話;自己紹介;親しみ;会話向き,,1
1538,🚶‍♂️,1F6B6 200D 2642 FE0F,man walking,歩く人,People & Body,人と体,person-activity,活動する人,4,自己紹介;会話向き,会話,親しみ,会話;自己紹介;親しみ;会話向き,,2
1539,🚶🏻‍♂️,1F6B6 1F3FB 200D 2642 FE0F,man walking: light skin tone,歩く人,People & Body,人と体,person-activity,活動する人,4,自己紹介;会話向き,会話,親しみ,会話;自己紹介;親しみ;会話向き,,1
1540,🚶🏼‍♂️,1F6B6 1F3FC 200D 2642 FE0F,man walking: medium-light skin tone,歩く人,People & Body,人と体,person-activity,活動する人,4,自己紹介;会話向き,会話,親しみ,会話;自己紹介;親しみ;会話向き,,2
1541,🚶🏽‍♂️,1F6B6 1F3FD 200D 2642 FE0F,man walking: medium skin tone,歩く人,People & Body,人と体,person-activity,活動する人,4,自己紹介;会話向き,会話,親しみ,会話;自己紹介;親しみ;会話向き,,1
1542,🚶🏾‍♂️,1F6B6 1F3FE 200D 2642 FE0F,man walking: medium-dark skin tone,歩く人,People & Body,人と体,person-activity,活動する人,4,自己紹介;会話向き,会話,親しみ,会話;自己紹介;親しみ;会話向き,,1
1543,🚶🏿‍♂️,1F6B6 1F3FF 200D 2642 FE0F,man walking: dark skin tone,歩く人,People & Body,人と体,person-activity,活動する人,4,自己紹介;会話向き,会話,親しみ,会話;自己紹介;親しみ;会話向き,,1
1544,🚶‍♀️,1F6B6 200D 2640 FE0F,woman walking,歩く人,People & Body,人と体,person-activity,活動する人,4,自己紹介;会話向き,会話,親しみ,会話;自己紹介;親しみ;会話向き,,2
1545,🚶🏻‍♀️,1F6B6 1F3FB 200D 2640 FE0F,woman walking: light skin tone,歩く人,People & Body,人と体,person-activity,活動する人,4,自己紹介;会話向き,会話,親しみ,会話;自己紹介;親しみ;会話向き,,1
1546,🚶🏼‍♀️,1F6B6 1F3FC 200D 2640 FE0F,woman walking: medium-light skin tone,歩く人,People & Body,人と体,person-activity,活動する人,4,自己紹介;会話向き,会話,親しみ,会話;自己紹介;親しみ;会話向き,,2
1547,🚶🏽‍♀️,1F6B6 1F3FD 200D 2640 FE0F,woman walking: medium skin tone,歩く人,People & Body,人と体,person-activity,活動する人,4,自己紹介;会話向き,会話,親しみ,会話;自己紹介;親しみ;会話向き,,1
1548,🚶🏾‍♀️,1F6B6 1F3FE 200D 2640 FE0F,woman walking: medium-dark skin tone,歩く人,People & Body,人と体,person-activity,活動する人,4,自己紹介;会話向き,会話,親しみ,会話;自己紹介;親しみ;会話向き,,1
1549,🚶🏿‍♀️,1F6B6 1F3FF 200D 2640 FE0F,woman walking: dark skin tone,歩く人,People & Body,人と体,person-activity,活動する人,4,自己紹介;会話向き,会話,親しみ,会話;自己紹介;親しみ;会話向き,,1
1550,🚶‍➡️,1F6B6 200D 27A1 FE0F,person walking facing right,歩く人,People & Body,人と体,person-activity,活動する人,15.1,自己紹介;会話向き,会話,親しみ,会話;自己紹介;親しみ;会話向き,,2
1551,🚶🏻‍➡️,1F6B6 1F3FB 200D 27A1 FE0F,person walking facing right: light skin tone,歩く人,People & Body,人と体,person-activity,活動する人,15.1,自己紹介;会話向き,会話,親しみ,会話;自己紹介;親しみ;会話向き,,1
1552,🚶🏼‍➡️,1F6B6 1F3FC 200D 27A1 FE0F,person walking facing right: medium-light skin tone,歩く人,People & Body,人と体,person-activity,活動する人,15.1,自己紹介;会話向き,会話,親しみ,会話;自己紹介;親しみ;会話向き,,2
1553,🚶🏽‍➡️,1F6B6 1F3FD 200D 27A1 FE0F,person walking facing right: medium skin tone,歩く人,People & Body,人と体,person-activity,活動する人,15.1,自己紹介;会話向き,会話,親しみ,会話;自己紹介;親しみ;会話向き,,1
1554,🚶🏾‍➡️,1F6B6 1F3FE 200D 27A1 FE0F,person walking facing right: medium-dark skin tone,歩く人,People & Body,人と体,person-activity,活動する人,15.1,自己紹介;会話向き,会話,親しみ,会話;自己紹介;親しみ;会話向き,,1
1555,🚶🏿‍➡️,1F6B6 1F3FF 200D 27A1 FE0F,person walking facing right: dark skin tone,歩く人,People & Body,人と体,person-activity,活動する人,15.1,自己紹介;会話向き,会話,親しみ,会話;自己紹介;親しみ;会話向き,,1
1556,🚶‍♀️‍➡️,1F6B6 200D 2640 FE0F 200D 27A1 FE0F,woman walking facing right,歩く人,People & Body,人と体,person-activity,活動する人,15.1,自己紹介;会話向き,会話,親しみ,会話;自己紹介;親しみ;会話向き,,2
1557,🚶🏻‍♀️‍➡️,1F6B6 1F3FB 200D 2640 FE0F 200D 27A1 FE0F,woman walking facing right: light skin tone,歩く人,People & Body,人と体,person-activity,活動する人,15.1,自己紹介;会話向き,会話,親しみ,会話;自己紹介;親しみ;会話向き,,1
1558,🚶🏼‍♀️‍➡️,1F6B6 1F3FC 200D 2640 FE0F 200D 27A1 FE0F,woman walking facing right: medium-light skin tone,歩く人,People & Body,人と体,person-activity,活動する人,15.1,自己紹介;会話向き,会話,親しみ,会話;自己紹介;親しみ;会話向き,,2
1559,🚶🏽‍♀️‍➡️,1F6B6 1F3FD 200D 2640 FE0F 200D 27A1 FE0F,woman walking facing right: medium skin tone,歩く人,People & Body,人と体,person-activity,活動する人,15.1,自己紹介;会話向き,会話,親しみ,会話;自己紹介;親しみ;会話向き,,1
1560,🚶🏾‍♀️‍➡️,1F6B6 1F3FE 200D 2640 FE0F 200D 27A1 FE0F,woman walking facing right: medium-dark skin tone,歩く人,People & Body,人と体,person-activity,活動する人,15.1,自己紹介;会話向き,会話,親しみ,会話;自己紹介;親しみ;会話向き,,1
1561,🚶🏿‍♀️‍➡️,1F6B6 1F3FF 200D 2640 FE0F 200D 27A1 FE0F,woman walking facing right: dark skin tone,歩く人,People & Body,人と体,person-activity,活動する人,15.1,自己紹介;会話向き,会話,親しみ,会話;自己紹介;親しみ;会話向き,,1
1562,🚶‍♂️‍➡️,1F6B6 200D 2642 FE0F 200D 27A1 FE0F,man walking facing right,歩く人,People & Body,人と体,person-activity,活動する人,15.1,自己紹介;会話向き,会話,親しみ,会話;自己紹介;親しみ;会話向き,,2
1563,🚶🏻‍♂️‍➡️,1F6B6 1F3FB 200D 2642 FE0F 200D 27A1 FE0F,man walking facing right: light skin tone,歩く人,People & Body,人と体,person-activity,活動する人,15.1,自己紹介;会話向き,会話,親しみ,会話;自己紹介;親しみ;会話向き,,1
1564,🚶🏼‍♂️‍➡️,1F6B6 1F3FC 200D 2642 FE0F 200D 27A1 FE0F,man walking facing right: medium-light skin tone,歩く人,People & Body,人と体,person-activity,活動する人,15.1,自己紹介;会話向き,会話,親しみ,会話;自己紹介;親しみ;会話向き,,2
1565,🚶🏽‍♂️‍➡️,1F6B6 1F3FD 200D 2642 FE0F 200D 27A1 FE0F,man walking facing right: medium skin tone,歩く人,People & Body,人と体,person-activity,活動する人,15.1,自己紹介;会話向き,会話,親しみ,会話;自己紹介;親しみ;会話向き,,1
1566,🚶🏾‍♂️‍➡️,1F6B6 1F3FE 200D 2642 FE0F 200D 27A1 FE0F,man walking facing right: medium-dark skin tone,歩く人,People & Body,人と体,person-activity,活動する人,15.1,自己紹介;会話向き,会話,親しみ,会話;自己紹介;親しみ;会話向き,,1
1567,🚶🏿‍♂️‍➡️,1F6B6 1F3FF 200D 2642 FE0F 200D 27A1 FE0F,man walking facing right: dark skin tone,歩く人,People & Body,人と体,person-activity,活動する人,15.1,自己紹介;会話向き,会話,親しみ,会話;自己紹介;親しみ;会話向き,,1
1568,🧍,1F9CD,person standing,立つ人,People & Body,人と体,person-activity,活動する人,12,人;立っている;立つ人;起立;自己紹介;会話向き,会話,親しみ,人;立っている;立つ人;起立;会話;自己紹介;親しみ;会話向き,,2
1569,🧍🏻,1F9CD 1F3FB,person standing: light skin tone,立つ人（薄い肌色）,People & Body,人と体,person-activity,活動する人,12,人;立っている;立つ人;薄い肌色;起立;自己紹介;会話向き,会話,親しみ,人;立っている;立つ人;薄い肌色;起立;会話;自己紹介;親しみ;会話向き,,1
1570,🧍🏼,1F9CD 1F3FC,person standing: medium-light skin tone,立つ人（やや薄い肌色）,People & Body,人と体,person-activity,活動する人,12,人;やや薄い肌色;立っている;立つ人;起立;自己紹介;会話向き,会話,親しみ,人;やや薄い肌色;立っている;立つ人;起立;会話;自己紹介;親しみ;会話向き,,2
1571,🧍🏽,1F9CD 1F3FD,person standing: medium skin tone,立つ人（中間の肌色）,People & Body,人と体,person-activity,活動する人,12,人;中間の肌色;立っている;立つ人;起立;自己紹介;会話向き,会話,親しみ,人;中間の肌色;立っている;立つ人;起立;会話;自己紹介;親しみ;会話向き,,1
1572,🧍🏾,1F9CD 1F3FE,person standing: medium-dark skin tone,立つ人（やや濃い肌色）,People & Body,人と体,person-activity,活動する人,12,人;やや濃い肌色;立っている;立つ人;起立;自己紹介;会話向き,会話,親しみ,人;やや濃い肌色;立っている;立つ人;起立;会話;自己紹介;親しみ;会話向き,,1
1573,🧍🏿,1F9CD 1F3FF,person standing: dark skin tone,立つ人（濃い肌色）,People & Body,人と体,person-activity,活動する人,12,人;濃い肌色;立っている;立つ人;起立;自己紹介;会話向き,会話,親しみ,人;濃い肌色;立っている;立つ人;起立;会話;自己紹介;親しみ;会話向き,,1
1574,🧍‍♂️,1F9CD 200D 2642 FE0F,man standing,立つ人,People & Body,人と体,person-activity,活動する人,12,自己紹介;会話向き,会話,親しみ,会話;自己紹介;親しみ;会話向き,,2
1575,🧍🏻‍♂️,1F9CD 1F3FB 200D 2642 FE0F,man standing: light skin tone,立つ人,People & Body,人と体,person-activity,活動する人,12,自己紹介;会話向き,会話,親しみ,会話;自己紹介;親しみ;会話向き,,1
1576,🧍🏼‍♂️,1F9CD 1F3FC 200D 2642 FE0F,man standing: medium-light skin tone,立つ人,People & Body,人と体,person-activity,活動する人,12,自己紹介;会話向き,会話,親しみ,会話;自己紹介;親しみ;会話向き,,2
1577,🧍🏽‍♂️,1F9CD 1F3FD 200D 2642 FE0F,man standing: medium skin tone,立つ人,People & Body,人と体,person-activity,活動する人,12,自己紹介;会話向き,会話,親しみ,会話;自己紹介;親しみ;会話向き,,1
1578,🧍🏾‍♂️,1F9CD 1F3FE 200D 2642 FE0F,man standing: medium-dark skin tone,立つ人,People & Body,人と体,person-activity,活動する人,12,自己紹介;会話向き,会話,親しみ,会話;自己紹介;親しみ;会話向き,,1
1579,🧍🏿‍♂️,1F9CD 1F3FF 200D 2642 FE0F,man standing: dark skin tone,立つ人,People & Body,人と体,person-activity,活動する人,12,自己紹介;会話向き,会話,親しみ,会話;自己紹介;親しみ;会話向き,,1
1580,🧍‍♀️,1F9CD 200D 2640 FE0F,woman standing,立つ人,People & Body,人と体,person-activity,活動する人,12,自己紹介;会話向き,会話,親しみ,会話;自己紹介;親しみ;会話向き,,2
1581,🧍🏻‍♀️,1F9CD 1F3FB 200D 2640 FE0F,woman standing: light skin tone,立つ人,People & Body,人と体,person-activity,活動する人,12,自己紹介;会話向き,会話,親しみ,会話;自己紹介;親しみ;会話向き,,1
1582,🧍🏼‍♀️,1F9CD 1F3FC 200D 2640 FE0F,woman standing: medium-light skin tone,立つ人,People & Body,人と体,person-activity,活動する人,12,自己紹介;会話向き,会話,親しみ,会話;自己紹介;親しみ;会話向き,,2
1583,🧍🏽‍♀️,1F9CD 1F3FD 200D 2640 FE0F,woman standing: medium skin tone,立つ人,People & Body,人と体,person-activity,活動する人,12,自己紹介;会話向き,会話,親しみ,会話;自己紹介;親しみ;会話向き,,1
1584,🧍🏾‍♀️,1F9CD 1F3FE 200D 2640 FE0F,woman standing: medium-dark skin tone,立つ人,People & Body,人と体,person-activity,活動する人,12,自己紹介;会話向き,会話,親しみ,会話;自己紹介;親しみ;会話向き,,1
1585,🧍🏿‍♀️,1F9CD 1F3FF 200D 2640 FE0F,woman standing: dark skin tone,立つ人,People & Body,人と体,person-activity,活動する人,12,自己紹介;会話向き,会話,親しみ,会話;自己紹介;親しみ;会話向き,,1
1586,🧎,1F9CE,person kneeling,正座する人,People & Body,人と体,person-activity,活動する人,12,人;ひざまずく;座る;正座する人;自己紹介;会話向き,会話,親しみ,人;ひざまずく;座る;正座する人;会話;自己紹介;親しみ;会話向き,,2
1587,🧎🏻,1F9CE 1F3FB,person kneeling: light skin tone,正座する人（薄い肌色）,People & Body,人と体,person-activity,活動する人,12,人;ひざまずく;座る;正座する人;薄い肌色;自己紹介;会話向き,会話,親しみ,人;ひざまずく;座る;正座する人;薄い肌色;会話;自己紹介;親しみ;会話向き,,1
1588,🧎🏼,1F9CE 1F3FC,person kneeling: medium-light skin tone,正座する人（やや薄い肌色）,People & Body,人と体,person-activity,活動する人,12,人;ひざまずく;やや薄い肌色;座る;正座する人;自己紹介;会話向き,会話,親しみ,人;ひざまずく;やや薄い肌色;座る;正座する人;会話;自己紹介;親しみ;会話向き,,2
1589,🧎🏽,1F9CE 1F3FD,person kneeling: medium skin tone,正座する人（中間の肌色）,People & Body,人と体,person-activity,活動する人,12,人;ひざまずく;中間の肌色;座る;正座する人;自己紹介;会話向き,会話,親しみ,人;ひざまずく;中間の肌色;座る;正座する人;会話;自己紹介;親しみ;会話向き,,1
1590,🧎🏾,1F9CE 1F3FE,person kneeling: medium-dark skin tone,正座する人（やや濃い肌色）,People & Body,人と体,person-activity,活動する人,12,人;ひざまずく;やや濃い肌色;座る;正座する人;自己紹介;会話向き,会話,親しみ,人;ひざまずく;やや濃い肌色;座る;正座する人;会話;自己紹介;親しみ;会話向き,,1
1591,🧎🏿,1F9CE 1F3FF,person kneeling: dark skin tone,正座する人（濃い肌色）,People & Body,人と体,person-activity,活動する人,12,人;ひざまずく;座る;正座する人;濃い肌色;自己紹介;会話向き,会話,親しみ,人;ひざまずく;座る;正座する人;濃い肌色;会話;自己紹介;親しみ;会話向き,,1
1592,🧎‍♂️,1F9CE 200D 2642 FE0F,man kneeling,ひざまずく人,People & Body,人と体,person-activity,活動する人,12,自己紹介;会話向き,会話,親しみ,会話;自己紹介;親しみ;会話向き,,2
1593,🧎🏻‍♂️,1F9CE 1F3FB 200D 2642 FE0F,man kneeling: light skin tone,ひざまずく人,People & Body,人と体,person-activity,活動する人,12,自己紹介;会話向き,会話,親しみ,会話;自己紹介;親しみ;会話向き,,1
1594,🧎🏼‍♂️,1F9CE 1F3FC 200D 2642 FE0F,man kneeling: medium-light skin tone,ひざまずく人,People & Body,人と体,person-activity,活動する人,12,自己紹介;会話向き,会話,親しみ,会話;自己紹介;親しみ;会話向き,,2
1595,🧎🏽‍♂️,1F9CE 1F3FD 200D 2642 FE0F,man kneeling: medium skin tone,ひざまずく人,People & Body,人と体,person-activity,活動する人,12,自己紹介;会話向き,会話,親しみ,会話;自己紹介;親しみ;会話向き,,1
1596,🧎🏾‍♂️,1F9CE 1F3FE 200D 2642 FE0F,man kneeling: medium-dark skin tone,ひざまずく人,People & Body,人と体,person-activity,活動する人,12,自己紹介;会話向き,会話,親しみ,会話;自己紹介;親しみ;会話向き,,1
1597,🧎🏿‍♂️,1F9CE 1F3FF 200D 2642 FE0F,man kneeling: dark skin tone,ひざまずく人,People & Body,人と体,person-activity,活動する人,12,自己紹介;会話向き,会話,親しみ,会話;自己紹介;親しみ;会話向き,,1
1598,🧎‍♀️,1F9CE 200D 2640 FE0F,woman kneeling,ひざまずく人,People & Body,人と体,person-activity,活動する人,12,自己紹介;会話向き,会話,親しみ,会話;自己紹介;親しみ;会話向き,,2
1599,🧎🏻‍♀️,1F9CE 1F3FB 200D 2640 FE0F,woman kneeling: light skin tone,ひざまずく人,People & Body,人と体,person-activity,活動する人,12,自己紹介;会話向き,会話,親しみ,会話;自己紹介;親しみ;会話向き,,1
1600,🧎🏼‍♀️,1F9CE 1F3FC 200D 2640 FE0F,woman kneeling: medium-light skin tone,ひざまずく人,People & Body,人と体,person-activity,活動する人,12,自己紹介;会話向き,会話,親しみ,会話;自己紹介;親しみ;会話向き,,2
1601,🧎🏽‍♀️,1F9CE 1F3FD 200D 2640 FE0F,woman kneeling: medium skin tone,ひざまずく人,People & Body,人と体,person-activity,活動する人,12,自己紹介;会話向き,会話,親しみ,会話;自己紹介;親しみ;会話向き,,1
1602,🧎🏾‍♀️,1F9CE 1F3FE 200D 2640 FE0F,woman kneeling: medium-dark skin tone,ひざまずく人,People & Body,人と体,person-activity,活動する人,12,自己紹介;会話向き,会話,親しみ,会話;自己紹介;親しみ;会話向き,,1
1603,🧎🏿‍♀️,1F9CE 1F3FF 200D 2640 FE0F,woman kneeling: dark skin tone,ひざまずく人,People & Body,人と体,person-activity,活動する人,12,自己紹介;会話向き,会話,親しみ,会話;自己紹介;親しみ;会話向き,,1
1604,🧎‍➡️,1F9CE 200D 27A1 FE0F,person kneeling facing right,ひざまずく人,People & Body,人と体,person-activity,活動する人,15.1,自己紹介;会話向き,会話,親しみ,会話;自己紹介;親しみ;会話向き,,2
1605,🧎🏻‍➡️,1F9CE 1F3FB 200D 27A1 FE0F,person kneeling facing right: light skin tone,ひざまずく人,People & Body,人と体,person-activity,活動する人,15.1,自己紹介;会話向き,会話,親しみ,会話;自己紹介;親しみ;会話向き,,1
1606,🧎🏼‍➡️,1F9CE 1F3FC 200D 27A1 FE0F,person kneeling facing right: medium-light skin tone,ひざまずく人,People & Body,人と体,person-activity,活動する人,15.1,自己紹介;会話向き,会話,親しみ,会話;自己紹介;親しみ;会話向き,,2
1607,🧎🏽‍➡️,1F9CE 1F3FD 200D 27A1 FE0F,person kneeling facing right: medium skin tone,ひざまずく人,People & Body,人と体,person-activity,活動する人,15.1,自己紹介;会話向き,会話,親しみ,会話;自己紹介;親しみ;会話向き,,1
1608,🧎🏾‍➡️,1F9CE 1F3FE 200D 27A1 FE0F,person kneeling facing right: medium-dark skin tone,ひざまずく人,People & Body,人と体,person-activity,活動する人,15.1,自己紹介;会話向き,会話,親しみ,会話;自己紹介;親しみ;会話向き,,1
1609,🧎🏿‍➡️,1F9CE 1F3FF 200D 27A1 FE0F,person kneeling facing right: dark skin tone,ひざまずく人,People & Body,人と体,person-activity,活動する人,15.1,自己紹介;会話向き,会話,親しみ,会話;自己紹介;親しみ;会話向き,,1
1610,🧎‍♀️‍➡️,1F9CE 200D 2640 FE0F 200D 27A1 FE0F,woman kneeling facing right,ひざまずく人,People & Body,人と体,person-activity,活動する人,15.1,自己紹介;会話向き,会話,親しみ,会話;自己紹介;親しみ;会話向き,,2
1611,🧎🏻‍♀️‍➡️,1F9CE 1F3FB 200D 2640 FE0F 200D 27A1 FE0F,woman kneeling facing right: light skin tone,ひざまずく人,People & Body,人と体,person-activity,活動する人,15.1,自己紹介;会話向き,会話,親しみ,会話;自己紹介;親しみ;会話向き,,1
1612,🧎🏼‍♀️‍➡️,1F9CE 1F3FC 200D 2640 FE0F 200D 27A1 FE0F,woman kneeling facing right: medium-light skin tone,ひざまずく人,People & Body,人と体,person-activity,活動する人,15.1,自己紹介;会話向き,会話,親しみ,会話;自己紹介;親しみ;会話向き,,2
1613,🧎🏽‍♀️‍➡️,1F9CE 1F3FD 200D 2640 FE0F 200D 27A1 FE0F,woman kneeling facing right: medium skin tone,ひざまずく人,People & Body,人と体,person-activity,活動する人,15.1,自己紹介;会話向き,会話,親しみ,会話;自己紹介;親しみ;会話向き,,1
1614,🧎🏾‍♀️‍➡️,1F9CE 1F3FE 200D 2640 FE0F 200D 27A1 FE0F,woman kneeling facing right: medium-dark skin tone,ひざまずく人,People & Body,人と体,person-activity,活動する人,15.1,自己紹介;会話向き,会話,親しみ,会話;自己紹介;親しみ;会話向き,,1
1615,🧎🏿‍♀️‍➡️,1F9CE 1F3FF 200D 2640 FE0F 200D 27A1 FE0F,woman kneeling facing right: dark skin tone,ひざまずく人,People & Body,人と体,person-activity,活動する人,15.1,自己紹介;会話向き,会話,親しみ,会話;自己紹介;親しみ;会話向き,,1
1616,🧎‍♂️‍➡️,1F9CE 200D 2642 FE0F 200D 27A1 FE0F,man kneeling facing right,ひざまずく人,People & Body,人と体,person-activity,活動する人,15.1,自己紹介;会話向き,会話,親しみ,会話;自己紹介;親しみ;会話向き,,2
1617,🧎🏻‍♂️‍➡️,1F9CE 1F3FB 200D 2642 FE0F 200D 27A1 FE0F,man kneeling facing right: light skin tone,ひざまずく人,People & Body,人と体,person-activity,活動する人,15.1,自己紹介;会話向き,会話,親しみ,会話;自己紹介;親しみ;会話向き,,1
1618,🧎🏼‍♂️‍➡️,1F9CE 1F3FC 200D 2642 FE0F 200D 27A1 FE0F,man kneeling facing right: medium-light skin tone,ひざまずく人,People & Body,人と体,person-activity,活動する人,15.1,自己紹介;会話向き,会話,親しみ,会話;自己紹介;親しみ;会話向き,,2
1619,🧎🏽‍♂️‍➡️,1F9CE 1F3FD 200D 2642 FE0F 200D 27A1 FE0F,man kneeling facing right: medium skin tone,ひざまずく人,People & Body,人と体,person-activity,活動する人,15.1,自己紹介;会話向き,会話,親しみ,会話;自己紹介;親しみ;会話向き,,1
1620,🧎🏾‍♂️‍➡️,1F9CE 1F3FE 200D 2642 FE0F 200D 27A1 FE0F,man kneeling facing right: medium-dark skin tone,ひざまずく人,People & Body,人と体,person-activity,活動する人,15.1,自己紹介;会話向き,会話,親しみ,会話;自己紹介;親しみ;会話向き,,1
1621,🧎🏿‍♂️‍➡️,1F9CE 1F3FF 200D 2642 FE0F 200D 27A1 FE0F,man kneeling facing right: dark skin tone,ひざまずく人,People & Body,人と体,person-activity,活動する人,15.1,自己紹介;会話向き,会話,親しみ,会話;自己紹介;親しみ;会話向き,,1
1622,🧑‍🦯,1F9D1 200D 1F9AF,person with white cane,杖をついた人,People & Body,人と体,person-activity,活動する人,12.1,アクセシビリティ;杖をついた人;目;視覚;障がい;自己紹介;会話向き,会話,親しみ,アクセシビリティ;杖をついた人;目;視覚;障がい;会話;自己紹介;親しみ;会話向き,,2
1623,🧑🏻‍🦯,1F9D1 1F3FB 200D 1F9AF,person with white cane: light skin tone,杖をついた人（薄い肌色）,People & Body,人と体,person-activity,活動する人,12.1,アクセシビリティ;杖をついた人;目;視覚;薄い肌色;障がい;自己紹介;会話向き,会話,親しみ,アクセシビリティ;杖をついた人;目;視覚;薄い肌色;障がい;会話;自己紹介;親しみ;会話向き,,1
