id,emoji,codepoints,name_en,name_ja,category,category_ja,subcategory,subcategory_ja,unicode_version,importance,direct_ja,visual_ja,context_ja,symbolic_ja,emotion_ja,action_ja,culture_ja,search_ja,abstract_group_id,abstract_group_role,abstract_variant_kind,abstract_is_source,abstract_group_key
2066,🤸🏾,1F938 1F3FE,person cartwheeling: medium-dark skin tone,側転する人（やや濃い肌色）,People & Body,人と体,person-sport,スポーツする人,3,1,,,,,,,,,2062,variant,skin_gender,0,cartwheeling
2067,🤸🏿,1F938 1F3FF,person cartwheeling: dark skin tone,側転する人（濃い肌色）,People & Body,人と体,person-sport,スポーツする人,3,1,,,,,,,,,2062,variant,skin_gender,0,cartwheeling
2068,🤸‍♂️,1F938 200D 2642 FE0F,man cartwheeling,側転,People & Body,人と体,person-sport,スポーツする人,4,2,人;スポーツ;側転;男性,運動;道具;男,試合;部活;応援;運動会;側転,競技;勝負;挑戦,元気;熱い,競う;運動する;側転,スポーツ,人;スポーツ;側転;男性;運動;道具;男;試合;部活;応援;運動会;競技;勝負;挑戦;元気;熱い;競う;運動する,2062,variant,gender,0,cartwheeling
2069,🤸🏻‍♂️,1F938 1F3FB 200D 2642 FE0F,man cartwheeling: light skin tone,側転,People & Body,人と体,person-sport,スポーツする人,4,1,,,,,,,,,2062,variant,skin_gender,0,cartwheeling
2070,🤸🏼‍♂️,1F938 1F3FC 200D 2642 FE0F,man cartwheeling: medium-light skin tone,側転,People & Body,人と体,person-sport,スポーツする人,4,2,,,,,,,,,2062,variant,skin_gender,0,cartwheeling
2071,🤸🏽‍♂️,1F938 1F3FD 200D 2642 FE0F,man cartwheeling: medium skin tone,側転,People & Body,人と体,person-sport,スポーツする人,4,1,,,,,,,,,2062,variant,skin_gender,0,cartwheeling
2072,🤸🏾‍♂️,1F938 1F3FE 200D 2642 FE0F,man cartwheeling: medium-dark skin tone,側転,People & Body,人と体,person-sport,スポーツする人,4,1,,,,,,,,,2062,variant,skin_gender,0,cartwheeling
2073,🤸🏿‍♂️,1F938 1F3FF 200D 2642 FE0F,man cartwheeling: dark skin tone,側転,People & Body,人と体,person-sport,スポーツする人,4,1,,,,,,,,,2062,variant,skin_gender,0,cartwheeling
2074,🤸‍♀️,1F938 200D 2640 FE0F,woman cartwheeling,側転,People & Body,人と体,person-sport,スポーツする人,4,2,人;スポーツ;側転;女性,運動;道具;女,試合;部活;応援;運動会;側転,競技;勝負;挑戦,元気;熱い,競う;運動する;側転,スポーツ,人;スポーツ;側転;女性;運動;道具;女;試合;部活;応援;運動会;競技;勝負;挑戦;元気;熱い;競う;運動する,2062,variant,gender,0,cartwheeling
2075,🤸🏻‍♀️,1F938 1F3FB 200D 2640 FE0F,woman cartwheeling: light skin tone,側転,People & Body,人と体,person-sport,スポーツする人,4,1,,,,,,,,,2062,variant,skin_gender,0,cartwheeling
2076,🤸🏼‍♀️,1F938 1F3FC 200D 2640 FE0F,woman cartwheeling: medium-light skin tone,側転,People & Body,人と体,person-sport,スポーツする人,4,2,,,,,,,,,2062,variant,skin_gender,0,cartwheeling
2077,🤸🏽‍♀️,1F938 1F3FD 200D 2640 FE0F,woman cartwheeling: medium skin tone,側転,People & Body,人と体,person-sport,スポーツする人,4,1,,,,,,,,,2062,variant,skin_gender,0,cartwheeling
2078,🤸🏾‍♀️,1F938 1F3FE 200D 2640 FE0F,woman cartwheeling: medium-dark skin tone,側転,People & Body,人と体,person-sport,スポーツする人,4,1,,,,,,,,,2062,variant,skin_gender,0,cartwheeling
2079,🤸🏿‍♀️,1F938 1F3FF 200D 2640 FE0F,woman cartwheeling: dark skin tone,側転,People & Body,人と体,person-sport,スポーツする人,4,1,,,,,,,,,2062,variant,skin_gender,0,cartwheeling
2080,🤼,1F93C,people wrestling,レスリングする人,People & Body,人と体,person-sport,スポーツする人,3,2,人;スポーツ;レスリングする人;レスリング,運動;道具,試合;部活;応援;運動会;レスリング,競技;勝負;挑戦,元気;熱い,競う;運動する;レスリング,スポーツ,人;スポーツ;レスリングする人;レスリング;運動;道具;試合;部活;応援;運動会;競技;勝負;挑戦;元気;熱い;競う;運動する,2080,source,base,1,people wrestling
2081,🤼🏻,1F93C 1F3FB,people wrestling: light skin tone,レスリングする人（薄い肌色）,People & Body,人と体,person-sport,スポーツする人,17,1,,,,,,,,,2080,variant,skin_tone,0,people wrestling
2082,🤼🏼,1F93C 1F3FC,people wrestling: medium-light skin tone,レスリングする人（やや薄い肌色）,People & Body,人と体,person-sport,スポーツする人,17,2,,,,,,,,,2080,variant,skin_tone,0,people wrestling
2083,🤼🏽,1F93C 1F3FD,people wrestling: medium skin tone,レスリングする人（中間の肌色）,People & Body,人と体,person-sport,スポーツする人,17,1,,,,,,,,,2080,variant,skin_tone,0,people wrestling
2084,🤼🏾,1F93C 1F3FE,people wrestling: medium-dark skin tone,レスリングする人（やや濃い肌色）,People & Body,人と体,person-sport,スポーツする人,17,1,,,,,,,,,2080,variant,skin_tone,0,people wrestling
2085,🤼🏿,1F93C 1F3FF,people wrestling: dark skin tone,レスリングする人（濃い肌色）,People & Body,人と体,person-sport,スポーツする人,17,1,,,,,,,,,2080,variant,skin_tone,0,people wrestling
2086,🤼‍♂️,1F93C 200D 2642 FE0F,men wrestling,レスリング,People & Body,人と体,person-sport,スポーツする人,4,2,人;スポーツ;レスリング,運動;道具,試合;部活;応援;運動会;レスリング,競技;勝負;挑戦,元気;熱い,競う;運動する;レスリング,スポーツ,人;スポーツ;レスリング;運動;道具;試合;部活;応援;運動会;競技;勝負;挑戦;元気;熱い;競う;運動する,2086,source,base,1,men wrestling
2087,🤼🏻‍♂️,1F93C 1F3FB 200D 2642 FE0F,men wrestling: light skin tone,レスリング,People & Body,人と体,person-sport,スポーツする人,17,1,,,,,,,,,2086,variant,skin_tone,0,men wrestling
2088,🤼🏼‍♂️,1F93C 1F3FC 200D 2642 FE0F,men wrestling: medium-light skin tone,レスリング,People & Body,人と体,person-sport,スポーツする人,17,2,,,,,,,,,2086,variant,skin_tone,0,men wrestling
2089,🤼🏽‍♂️,1F93C 1F3FD 200D 2642 FE0F,men wrestling: medium skin tone,レスリング,People & Body,人と体,person-sport,スポーツする人,17,1,,,,,,,,,2086,variant,skin_tone,0,men wrestling
2090,🤼🏾‍♂️,1F93C 1F3FE 200D 2642 FE0F,men wrestling: medium-dark skin tone,レスリング,People & Body,人と体,person-sport,スポーツする人,17,1,,,,,,,,,2086,variant,skin_tone,0,men wrestling
2091,🤼🏿‍♂️,1F93C 1F3FF 200D 2642 FE0F,men wrestling: dark skin tone,レスリング,People & Body,人と体,person-sport,スポーツする人,17,1,,,,,,,,,2086,variant,skin_tone,0,men wrestling
2092,🤼‍♀️,1F93C 200D 2640 FE0F,women wrestling,レスリング,People & Body,人と体,person-sport,スポーツする人,4,2,人;スポーツ;レスリング,運動;道具,試合;部活;応援;運動会;レスリング,競技;勝負;挑戦,元気;熱い,競う;運動する;レスリング,スポーツ,人;スポーツ;レスリング;運動;道具;試合;部活;応援;運動会;競技;勝負;挑戦;元気;熱い;競う;運動する,2092,source,base,1,women wrestling
2093,🤼🏻‍♀️,1F93C 1F3FB 200D 2640 FE0F,women wrestling: light skin tone,レスリング,People & Body,人と体,person-sport,スポーツする人,17,1,,,,,,,,,2092,variant,skin_tone,0,women wrestling
2094,🤼🏼‍♀️,1F93C 1F3FC 200D 2640 FE0F,women wrestling: medium-light skin tone,レスリング,People & Body,人と体,person-sport,スポーツする人,17,2,,,,,,,,,2092,variant,skin_tone,0,women wrestling
2095,🤼🏽‍♀️,1F93C 1F3FD 200D 2640 FE0F,women wrestling: medium skin tone,レスリング,People & Body,人と体,person-sport,スポーツする人,17,1,,,,,,,,,2092,variant,skin_tone,0,women wrestling
2096,🤼🏾‍♀️,1F93C 1F3FE 200D 2640 FE0F,women wrestling: medium-dark skin tone,レスリング,People & Body,人と体,person-sport,スポーツする人,17,1,,,,,,,,,2092,variant,skin_tone,0,women wrestling
2097,🤼🏿‍♀️,1F93C 1F3FF 200D 2640 FE0F,women wrestling: dark skin tone,レスリング,People & Body,人と体,person-sport,スポーツする人,17,1,,,,,,,,,2092,variant,skin_tone,0,women wrestling
2098,🧑🏻‍🫯‍🧑🏼,1F9D1 1F3FB 200D 1FAEF 200D 1F9D1 1F3FC,"people wrestling: light skin tone, medium-light skin tone",レスリングする人（薄い肌色） やや薄い肌色,People & Body,人と体,person-sport,スポーツする人,17,2,,,,,,,,,2080,variant,mixed_skin,0,people wrestling
2099,🧑🏻‍🫯‍🧑🏽,1F9D1 1F3FB 200D 1FAEF 200D 1F9D1 1F3FD,"people wrestling: light skin tone, medium skin tone",レスリングする人（薄い肌色） 中間の肌色,People & Body,人と体,person-sport,スポーツする人,17,1,,,,,,,,,2080,variant,mixed_skin,0,people wrestling
2100,🧑🏻‍🫯‍🧑🏾,1F9D1 1F3FB 200D 1FAEF 200D 1F9D1 1F3FE,"people wrestling: light skin tone, medium-dark skin tone",レスリングする人（薄い肌色） やや濃い肌色,People & Body,人と体,person-sport,スポーツする人,17,1,,,,,,,,,2080,variant,mixed_skin,0,people wrestling
2101,🧑🏻‍🫯‍🧑🏿,1F9D1 1F3FB 200D 1FAEF 200D 1F9D1 1F3FF,"people wrestling: light skin tone, dark skin tone",レスリングする人（薄い肌色） 濃い肌色,People & Body,人と体,person-sport,スポーツする人,17,1,,,,,,,,,2080,variant,mixed_skin,0,people wrestling
2102,🧑🏼‍🫯‍🧑🏻,1F9D1 1F3FC 200D 1FAEF 200D 1F9D1 1F3FB,"people wrestling: medium-light skin tone, light skin tone",レスリングする人（やや薄い肌色） 薄い肌色,People & Body,人と体,person-sport,スポーツする人,17,2,,,,,,,,,2080,variant,mixed_skin,0,people wrestling
2103,🧑🏼‍🫯‍🧑🏽,1F9D1 1F3FC 200D 1FAEF 200D 1F9D1 1F3FD,"people wrestling: medium-light skin tone, medium skin tone",レスリングする人（やや薄い肌色） 中間の肌色,People & Body,人と体,person-sport,スポーツする人,17,2,,,,,,,,,2080,variant,mixed_skin,0,people wrestling
2104,🧑🏼‍🫯‍🧑🏾,1F9D1 1F3FC 200D 1FAEF 200D 1F9D1 1F3FE,"people wrestling: medium-light skin tone, medium-dark skin tone",レスリングする人（やや薄い肌色） やや濃い肌色,People & Body,人と体,person-sport,スポーツする人,17,2,,,,,,,,,2080,variant,mixed_skin,0,people wrestling
2105,🧑🏼‍🫯‍🧑🏿,1F9D1 1F3FC 200D 1FAEF 200D 1F9D1 1F3FF,"people wrestling: medium-light skin tone, dark skin tone",レスリングする人（やや薄い肌色） 濃い肌色,People & Body,人と体,person-sport,スポーツする人,17,2,,,,,,,,,2080,variant,mixed_skin,0,people wrestling
2106,🧑🏽‍🫯‍🧑🏻,1F9D1 1F3FD 200D 1FAEF 200D 1F9D1 1F3FB,"people wrestling: medium skin tone, light skin tone",レスリングする人（中間の肌色） 薄い肌色,People & Body,人と体,person-sport,スポーツする人,17,1,,,,,,,,,2080,variant,mixed_skin,0,people wrestling
2107,🧑🏽‍🫯‍🧑🏼,1F9D1 1F3FD 200D 1FAEF 200D 1F9D1 1F3FC,"people wrestling: medium skin tone, medium-light skin tone",レスリングする人（中間の肌色） やや薄い肌色,People & Body,人と体,person-sport,スポーツする人,17,2,,,,,,,,,2080,variant,mixed_skin,0,people wrestling
2108,🧑🏽‍🫯‍🧑🏾,1F9D1 1F3FD 200D 1FAEF 200D 1F9D1 1F3FE,"people wrestling: medium skin tone, medium-dark skin tone",レスリングする人（中間の肌色） やや濃い肌色,People & Body,人と体,person-sport,スポーツする人,17,1,,,,,,,,,2080,variant,mixed_skin,0,people wrestling
2109,🧑🏽‍🫯‍🧑🏿,1F9D1 1F3FD 200D 1FAEF 200D 1F9D1 1F3FF,"people wrestling: medium skin tone, dark skin tone",レスリングする人（中間の肌色） 濃い肌色,People & Body,人と体,person-sport,スポーツする人,17,1,,,,,,,,,2080,variant,mixed_skin,0,people wrestling
2110,🧑🏾‍🫯‍🧑🏻,1F9D1 1F3FE 200D 1FAEF 200D 1F9D1 1F3FB,"people wrestling: medium-dark skin tone, light skin tone",レスリングする人（やや濃い肌色） 薄い肌色,People & Body,人と体,person-sport,スポーツする人,17,1,,,,,,,,,2080,variant,mixed_skin,0,people wrestling
2111,🧑🏾‍🫯‍🧑🏼,1F9D1 1F3FE 200D 1FAEF 200D 1F9D1 1F3FC,"people wrestling: medium-dark skin tone, medium-light skin tone",レスリングする人（やや濃い肌色） やや薄い肌色,People & Body,人と体,person-sport,スポーツする人,17,2,,,,,,,,,2080,variant,mixed_skin,0,people wrestling
2112,🧑🏾‍🫯‍🧑🏽,1F9D1 1F3FE 200D 1FAEF 200D 1F9D1 1F3FD,"people wrestling: medium-dark skin tone, medium skin tone",レスリングする人（やや濃い肌色） 中間の肌色,People & Body,人と体,person-sport,スポーツする人,17,1,,,,,,,,,2080,variant,mixed_skin,0,people wrestling
2113,🧑🏾‍🫯‍🧑🏿,1F9D1 1F3FE 200D 1FAEF 200D 1F9D1 1F3FF,"people wrestling: medium-dark skin tone, dark skin tone",レスリングする人（やや濃い肌色） 濃い肌色,People & Body,人と体,person-sport,スポーツする人,17,1,,,,,,,,,2080,variant,mixed_skin,0,people wrestling
2114,🧑🏿‍🫯‍🧑🏻,1F9D1 1F3FF 200D 1FAEF 200D 1F9D1 1F3FB,"people wrestling: dark skin tone, light skin tone",レスリングする人（濃い肌色） 薄い肌色,People & Body,人と体,person-sport,スポーツする人,17,1,,,,,,,,,2080,variant,mixed_skin,0,people wrestling
2115,🧑🏿‍🫯‍🧑🏼,1F9D1 1F3FF 200D 1FAEF 200D 1F9D1 1F3FC,"people wrestling: dark skin tone, medium-light skin tone",レスリングする人（濃い肌色） やや薄い肌色,People & Body,人と体,person-sport,スポーツする人,17,2,,,,,,,,,2080,variant,mixed_skin,0,people wrestling
2116,🧑🏿‍🫯‍🧑🏽,1F9D1 1F3FF 200D 1FAEF 200D 1F9D1 1F3FD,"people wrestling: dark skin tone, medium skin tone",レスリングする人（濃い肌色） 中間の肌色,People & Body,人と体,person-sport,スポーツする人,17,1,,,,,,,,,2080,variant,mixed_skin,0,people wrestling
2117,🧑🏿‍🫯‍🧑🏾,1F9D1 1F3FF 200D 1FAEF 200D 1F9D1 1F3FE,"people wrestling: dark skin tone, medium-dark skin tone",レスリングする人（濃い肌色） やや濃い肌色,People & Body,人と体,person-sport,スポーツする人,17,1,,,,,,,,,2080,variant,mixed_skin,0,people wrestling
2118,👨🏻‍🫯‍👨🏼,1F468 1F3FB 200D 1FAEF 200D 1F468 1F3FC,"men wrestling: light skin tone, medium-light skin tone",レスリングする男（薄い肌色） やや薄い肌色,People & Body,人と体,person-sport,スポーツする人,17,2,,,,,,,,,2086,variant,mixed_skin,0,men wrestling
2119,👨🏻‍🫯‍👨🏽,1F468 1F3FB 200D 1FAEF 200D 1F468 1F3FD,"men wrestling: light skin tone, medium skin tone",レスリングする男（薄い肌色） 中間の肌色,People & Body,人と体,person-sport,スポーツする人,17,1,,,,,,,,,2086,variant,mixed_skin,0,men wrestling
2120,👨🏻‍🫯‍👨🏾,1F468 1F3FB 200D 1FAEF 200D 1F468 1F3FE,"men wrestling: light skin tone, medium-dark skin tone",レスリングする男（薄い肌色） やや濃い肌色,People & Body,人と体,person-sport,スポーツする人,17,1,,,,,,,,,2086,variant,mixed_skin,0,men wrestling
2121,👨🏻‍🫯‍👨🏿,1F468 1F3FB 200D 1FAEF 200D 1F468 1F3FF,"men wrestling: light skin tone, dark skin tone",レスリングする男（薄い肌色） 濃い肌色,People & Body,人と体,person-sport,スポーツする人,17,1,,,,,,,,,2086,variant,mixed_skin,0,men wrestling
2122,👨🏼‍🫯‍👨🏻,1F468 1F3FC 200D 1FAEF 200D 1F468 1F3FB,"men wrestling: medium-light skin tone, light skin tone",レスリングする男（やや薄い肌色） 薄い肌色,People & Body,人と体,person-sport,スポーツする人,17,2,,,,,,,,,2086,variant,mixed_skin,0,men wrestling
2123,👨🏼‍🫯‍👨🏽,1F468 1F3FC 200D 1FAEF 200D 1F468 1F3FD,"men wrestling: medium-light skin tone, medium skin tone",レスリングする男（やや薄い肌色） 中間の肌色,People & Body,人と体,person-sport,スポーツする人,17,2,,,,,,,,,2086,variant,mixed_skin,0,men wrestling
2124,👨🏼‍🫯‍👨🏾,1F468 1F3FC 200D 1FAEF 200D 1F468 1F3FE,"men wrestling: medium-light skin tone, medium-dark skin tone",レスリングする男（やや薄い肌色） やや濃い肌色,People & Body,人と体,person-sport,スポーツする人,17,2,,,,,,,,,2086,variant,mixed_skin,0,men wrestling
2125,👨🏼‍🫯‍👨🏿,1F468 1F3FC 200D 1FAEF 200D 1F468 1F3FF,"men wrestling: medium-light skin tone, dark skin tone",レスリングする男（やや薄い肌色） 濃い肌色,People & Body,人と体,person-sport,スポーツする人,17,2,,,,,,,,,2086,variant,mixed_skin,0,men wrestling
2126,👨🏽‍🫯‍👨🏻,1F468 1F3FD 200D 1FAEF 200D 1F468 1F3FB,"men wrestling: medium skin tone, light skin tone",レスリングする男（中間の肌色） 薄い肌色,People & Body,人と体,person-sport,スポーツする人,17,1,,,,,,,,,2086,variant,mixed_skin,0,men wrestling
2127,👨🏽‍🫯‍👨🏼,1F468 1F3FD 200D 1FAEF 200D 1F468 1F3FC,"men wrestling: medium skin tone, medium-light skin tone",レスリングする男（中間の肌色） やや薄い肌色,People & Body,人と体,person-sport,スポーツする人,17,2,,,,,,,,,2086,variant,mixed_skin,0,men wrestling
2128,👨🏽‍🫯‍👨🏾,1F468 1F3FD 200D 1FAEF 200D 1F468 1F3FE,"men wrestling: medium skin tone, medium-dark skin tone",レスリングする男（中間の肌色） やや濃い肌色,People & Body,人と体,person-sport,スポーツする人,17,1,,,,,,,,,2086,variant,mixed_skin,0,men wrestling
2129,👨🏽‍🫯‍👨🏿,1F468 1F3FD 200D 1FAEF 200D 1F468 1F3FF,"men wrestling: medium skin tone, dark skin tone",レスリングする男（中間の肌色） 濃い肌色,People & Body,人と体,person-sport,スポーツする人,17,1,,,,,,,,,2086,variant,mixed_skin,0,men wrestling
2130,👨🏾‍🫯‍👨🏻,1F468 1F3FE 200D 1FAEF 200D 1F468 1F3FB,"men wrestling: medium-dark skin tone, light skin tone",レスリングする男（やや濃い肌色） 薄い肌色,People & Body,人と体,person-sport,スポーツする人,17,1,,,,,,,,,2086,variant,mixed_skin,0,men wrestling
2131,👨🏾‍🫯‍👨🏼,1F468 1F3FE 200D 1FAEF 200D 1F468 1F3FC,"men wrestling: medium-dark skin tone, medium-light skin tone",レスリングする男（やや濃い肌色） やや薄い肌色,People & Body,人と体,person-sport,スポーツする人,17,2,,,,,,,,,2086,variant,mixed_skin,0,men wrestling
2132,👨🏾‍🫯‍👨🏽,1F468 1F3FE 200D 1FAEF 200D 1F468 1F3FD,"men wrestling: medium-dark skin tone, medium skin tone",レスリングする男（やや濃い肌色） 中間の肌色,People & Body,人と体,person-sport,スポーツする人,17,1,,,,,,,,,2086,variant,mixed_skin,0,men wrestling
2133,👨🏾‍🫯‍👨🏿,1F468 1F3FE 200D 1FAEF 200D 1F468 1F3FF,"men wrestling: medium-dark skin tone, dark skin tone",レスリングする男（やや濃い肌色） 濃い肌色,People & Body,人と体,person-sport,スポーツする人,17,1,,,,,,,,,2086,variant,mixed_skin,0,men wrestling
2134,👨🏿‍🫯‍👨🏻,1F468 1F3FF 200D 1FAEF 200D 1F468 1F3FB,"men wrestling: dark skin tone, light skin tone",レスリングする男（濃い肌色） 薄い肌色,People & Body,人と体,person-sport,スポーツする人,17,1,,,,,,,,,2086,variant,mixed_skin,0,men wrestling
2135,👨🏿‍🫯‍👨🏼,1F468 1F3FF 200D 1FAEF 200D 1F468 1F3FC,"men wrestling: dark skin tone, medium-light skin tone",レスリングする男（濃い肌色） やや薄い肌色,People & Body,人と体,person-sport,スポーツする人,17,2,,,,,,,,,2086,variant,mixed_skin,0,men wrestling
2136,👨🏿‍🫯‍👨🏽,1F468 1F3FF 200D 1FAEF 200D 1F468 1F3FD,"men wrestling: dark skin tone, medium skin tone",レスリングする男（濃い肌色） 中間の肌色,People & Body,人と体,person-sport,スポーツする人,17,1,,,,,,,,,2086,variant,mixed_skin,0,men wrestling
2137,👨🏿‍🫯‍👨🏾,1F468 1F3FF 200D 1FAEF 200D 1F468 1F3FE,"men wrestling: dark skin tone, medium-dark skin tone",レスリングする男（濃い肌色） やや濃い肌色,People & Body,人と体,person-sport,スポーツする人,17,1,,,,,,,,,2086,variant,mixed_skin,0,men wrestling
2138,👩🏻‍🫯‍👩🏼,1F469 1F3FB 200D 1FAEF 200D 1F469 1F3FC,"women wrestling: light skin tone, medium-light skin tone",レスリングする女（薄い肌色） やや薄い肌色,People & Body,人と体,person-sport,スポーツする人,17,2,,,,,,,,,2092,variant,mixed_skin,0,women wrestling
2139,👩🏻‍🫯‍👩🏽,1F469 1F3FB 200D 1FAEF 200D 1F469 1F3FD,"women wrestling: light skin tone, medium skin tone",レスリングする女（薄い肌色） 中間の肌色,People & Body,人と体,person-sport,スポーツする人,17,1,,,,,,,,,2092,variant,mixed_skin,0,women wrestling
2140,👩🏻‍🫯‍👩🏾,1F469 1F3FB 200D 1FAEF 200D 1F469 1F3FE,"women wrestling: light skin tone, medium-dark skin tone",レスリングする女（薄い肌色） やや濃い肌色,People & Body,人と体,person-sport,スポーツする人,17,1,,,,,,,,,2092,variant,mixed_skin,0,women wrestling
2141,👩🏻‍🫯‍👩🏿,1F469 1F3FB 200D 1FAEF 200D 1F469 1F3FF,"women wrestling: light skin tone, dark skin tone",レスリングする女（薄い肌色） 濃い肌色,People & Body,人と体,person-sport,スポーツする人,17,1,,,,,,,,,2092,variant,mixed_skin,0,women wrestling
2142,👩🏼‍🫯‍👩🏻,1F469 1F3FC 200D 1FAEF 200D 1F469 1F3FB,"women wrestling: medium-light skin tone, light skin tone",レスリングする女（やや薄い肌色） 薄い肌色,People & Body,人と体,person-sport,スポーツする人,17,2,,,,,,,,,2092,variant,mixed_skin,0,women wrestling
2143,👩🏼‍🫯‍👩🏽,1F469 1F3FC 200D 1FAEF 200D 1F469 1F3FD,"women wrestling: medium-light skin tone, medium skin tone",レスリングする女（やや薄い肌色） 中間の肌色,People & Body,人と体,person-sport,スポーツする人,17,2,,,,,,,,,2092,variant,mixed_skin,0,women wrestling
2144,👩🏼‍🫯‍👩🏾,1F469 1F3FC 200D 1FAEF 200D 1F469 1F3FE,"women wrestling: medium-light skin tone, medium-dark skin tone",レスリングする女（やや薄い肌色） やや濃い肌色,People & Body,人と体,person-sport,スポーツする人,17,2,,,,,,,,,2092,variant,mixed_skin,0,women wrestling
2145,👩🏼‍🫯‍👩🏿,1F469 1F3FC 200D 1FAEF 200D 1F469 1F3FF,"women wrestling: medium-light skin tone, dark skin tone",レスリングする女（やや薄い肌色） 濃い肌色,People & Body,人と体,person-sport,スポーツする人,17,2,,,,,,,,,2092,variant,mixed_skin,0,women wrestling
2146,👩🏽‍🫯‍👩🏻,1F469 1F3FD 200D 1FAEF 200D 1F469 1F3FB,"women wrestling: medium skin tone, light skin tone",レスリングする女（中間の肌色） 薄い肌色,People & Body,人と体,person-sport,スポーツする人,17,1,,,,,,,,,2092,variant,mixed_skin,0,women wrestling
2147,👩🏽‍🫯‍👩🏼,1F469 1F3FD 200D 1FAEF 200D 1F469 1F3FC,"women wrestling: medium skin tone, medium-light skin tone",レスリングする女（中間の肌色） やや薄い肌色,People & Body,人と体,person-sport,スポーツする人,17,2,,,,,,,,,2092,variant,mixed_skin,0,women wrestling
2148,👩🏽‍🫯‍👩🏾,1F469 1F3FD 200D 1FAEF 200D 1F469 1F3FE,"women wrestling: medium skin tone, medium-dark skin tone",レスリングする女（中間の肌色） やや濃い肌色,People & Body,人と体,person-sport,スポーツする人,17,1,,,,,,,,,2092,variant,mixed_skin,0,women wrestling
2149,👩🏽‍🫯‍👩🏿,1F469 1F3FD 200D 1FAEF 200D 1F469 1F3FF,"women wrestling: medium skin tone, dark skin tone",レスリングする女（中間の肌色） 濃い肌色,People & Body,人と体,person-sport,スポーツする人,17,1,,,,,,,,,2092,variant,mixed_skin,0,women wrestling
2150,👩🏾‍🫯‍👩🏻,1F469 1F3FE 200D 1FAEF 200D 1F469 1F3FB,"women wrestling: medium-dark skin tone, light skin tone",レスリングする女（やや濃い肌色） 薄い肌色,People & Body,人と体,person-sport,スポーツする人,17,1,,,,,,,,,2092,variant,mixed_skin,0,women wrestling
2151,👩🏾‍🫯‍👩🏼,1F469 1F3FE 200D 1FAEF 200D 1F469 1F3FC,"women wrestling: medium-dark skin tone, medium-light skin tone",レスリングする女（やや濃い肌色） やや薄い肌色,People & Body,人と体,person-sport,スポーツする人,17,2,,,,,,,,,2092,variant,mixed_skin,0,women wrestling
2152,👩🏾‍🫯‍👩🏽,1F469 1F3FE 200D 1FAEF 200D 1F469 1F3FD,"women wrestling: medium-dark skin tone, medium skin tone",レスリングする女（やや濃い肌色） 中間の肌色,People & Body,人と体,person-sport,スポーツする人,17,1,,,,,,,,,2092,variant,mixed_skin,0,women wrestling
2153,👩🏾‍🫯‍👩🏿,1F469 1F3FE 200D 1FAEF 200D 1F469 1F3FF,"women wrestling: medium-dark skin tone, dark skin tone",レスリングする女（やや濃い肌色） 濃い肌色,People & Body,人と体,person-sport,スポーツする人,17,1,,,,,,,,,2092,variant,mixed_skin,0,women wrestling
2154,👩🏿‍🫯‍👩🏻,1F469 1F3FF 200D 1FAEF 200D 1F469 1F3FB,"women wrestling: dark skin tone, light skin tone",レスリングする女（濃い肌色） 薄い肌色,People & Body,人と体,person-sport,スポーツする人,17,1,,,,,,,,,2092,variant,mixed_skin,0,women wrestling
2155,👩🏿‍🫯‍👩🏼,1F469 1F3FF 200D 1FAEF 200D 1F469 1F3FC,"women wrestling: dark skin tone, medium-light skin tone",レスリングする女（濃い肌色） やや薄い肌色,People & Body,人と体,person-sport,スポーツする人,17,2,,,,,,,,,2092,variant,mixed_skin,0,women wrestling
2156,👩🏿‍🫯‍👩🏽,1F469 1F3FF 200D 1FAEF 200D 1F469 1F3FD,"women wrestling: dark skin tone, medium skin tone",レスリングする女（濃い肌色） 中間の肌色,People & Body,人と体,person-sport,スポーツする人,17,1,,,,,,,,,2092,variant,mixed_skin,0,women wrestling
2157,👩🏿‍🫯‍👩🏾,1F469 1F3FF 200D 1FAEF 200D 1F469 1F3FE,"women wrestling: dark skin tone, medium-dark skin tone",レスリングする女（濃い肌色） やや濃い肌色,People & Body,人と体,person-sport,スポーツする人,17,1,,,,,,,,,2092,variant,mixed_skin,0,women wrestling
2158,🤽,1F93D,person playing water polo,水球をする人,People & Body,人と体,person-sport,スポーツする人,3,2,人;スポーツ;水球をする人;水球,運動;道具,試合;部活;応援;運動会;水球,競技;勝負;挑戦,元気;熱い,競う;運動する;水球,スポーツ,人;スポーツ;水球をする人;水球;運動;道具;試合;部活;応援;運動会;競技;勝負;挑戦;元気;熱い;競う;運動する,2158,source,gender,1,playing water polo
2159,🤽🏻,1F93D 1F3FB,person playing water polo: light skin tone,水球をする人（薄い肌色）,People & Body,人と体,person-sport,スポーツする人,3,1,,,,,,,,,2158,variant,skin_gender,0,playing water polo
2160,🤽🏼,1F93D 1F3FC,person playing water polo: medium-light skin tone,水球をする人（やや薄い肌色）,People & Body,人と体,person-sport,スポーツする人,3,2,,,,,,,,,2158,variant,skin_gender,0,playing water polo
2161,🤽🏽,1F93D 1F3FD,person playing water polo: medium skin tone,水球をする人（中間の肌色）,People & Body,人と体,person-sport,スポーツする人,3,1,,,,,,,,,2158,variant,skin_gender,0,playing water polo
